,Authorname,Likes,Quote
0,    Dr. Seuss  ,192452 likes,"      “Don't cry because it's over, smile because it happened.”  "
1,    Marilyn Monroe  ,147856 likes,"      “I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”  "
2,    Oscar Wilde  ,145550 likes,      “Be yourself; everyone else is already taken.”  
3,    Albert Einstein  ,129259 likes,      “Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”  
4,    Frank Zappa  ,124544 likes,"      “So many books, so little time.”  "
5,    Bernard M. Baruch  ,119274 likes,"      “Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”  "
6,    Marcus Tullius Cicero  ,117979 likes,      “A room without books is like a body without a soul.”  
7,    William W. Purkey  ,116704 likes,"      “You've gotta dance like there's nobody watching,"
8,    Dr. Seuss  ,113610 likes,      “You know you're in love when you can't fall asleep because reality is finally better than your dreams.”  
9,    Mae West  ,106153 likes,"      “You only live once, but if you do it right, once is enough.”  "
10,    Mahatma Gandhi  ,104712 likes,      “Be the change that you wish to see in the world.”  
11,    Robert Frost  ,98693 likes,      “In three words I can sum up everything I've learned about life: it goes on.”  
12,"    J.K. Rowling,  ",94571 likes,"      “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”  "
13,Harry Potter and the Goblet of Fire,94571 likes,"      “If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”  "
14,    Albert Camus  ,84583 likes,      “Don’t walk in front of me… I may not follow
15,"    Eleanor Roosevelt,  ",83992 likes,      “No one can make you feel inferior without your consent.”  
16,This is My Story,83992 likes,      “No one can make you feel inferior without your consent.”  
17,"    C.S. Lewis,  ",83315 likes,"      “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”  "
18,The Four Loves,83315 likes,"      “Friendship ... is born at the moment when one man says to another ""What! You too? I thought that no one but myself . . .”  "
19,    Mark Twain  ,82699 likes,"      “If you tell the truth, you don't have to remember anything.”  "
20,    Maya Angelou  ,77661 likes,"      “I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”  "
21,    Elbert Hubbard  ,77648 likes,      “A friend is someone who knows all about you and still loves you.”  
22,    Oscar Wilde  ,74596 likes,      “Always forgive your enemies; nothing annoys them so much.”  
23,    Oscar Wilde  ,72315 likes,"      “To live is the rarest thing in the world. Most people exist, that is all.”  "
24,    Mahatma Gandhi  ,71773 likes,      “Live as if you were to die tomorrow. Learn as if you were to live forever.”  
25,"    Martin Luther King Jr.,  ",71115 likes,      “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”  
26,A Testament of Hope: The Essential Writings and Speeches,71115 likes,      “Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”  
27,"    Oscar Wilde,  ",66917 likes,      “I am so clever that sometimes I don't understand a single word of what I am saying.”  
28,The Happy Prince and Other Stories,66917 likes,      “I am so clever that sometimes I don't understand a single word of what I am saying.”  
29,"    Friedrich Nietzsche,  ",65875 likes,"      “Without music, life would be a mistake.”  "
30,Twilight of the Idols,65875 likes,"      “Without music, life would be a mistake.”  "
31,    Ralph Waldo Emerson  ,64347 likes,      “To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”  
32,    Rob Siltanen  ,64238 likes,"      “Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing you can't do is ignore them. Because they change things. They push the human race forward. And while some may see them as the crazy ones, we see genius. Because the people who are crazy enough to think they can change the world, are the ones who do.”  "
33,"    Stephen Chbosky,  ",64179 likes,      “We accept the love we think we deserve.”  
34,The Perks of Being a Wallflower,64179 likes,      “We accept the love we think we deserve.”  
35,    Narcotics Anonymous  ,60416 likes,"      “Insanity is doing the same thing, over and over again, but expecting different results.”  "
36,    Marilyn Monroe  ,59199 likes,"      “I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall together.”  "
